フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
189,POINT(137.09064308794 35.0752638403375),da050524,緑と花のセンター「さんさんの郷」,自然とのふれあい、快適な環境の整った市民憩いの公園です。休日はもとより平日も農業をする人や散歩する人が見受けられるストレス解消の場所となっています。秋には総合福祉フェスタが開かれ、一万人もの人が訪れる人と物との交流場所となっています。　,さんさんの郷,0561-34-6111,http://www.city.aichi-miyoshi.lg.jp/midori/sansansisetuannai.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
190,POINT(137.553939703255 34.9976845709203),da060501,山びこの丘,新城市久老勢（旧鳳来町）にあります。“よく遊び、よく学ぶ自然の中の大きな教室”がキャッチフレーズです。,山びこの丘,0536-35-1191,http://www.sanyurin.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2015/12/08 13:31:07
191,POINT(137.626556606615 34.9950423168597),da060502,愛知県民の森,新城市門谷にある豊かな森林と清流を背景に自然とふれあえる施設です。,愛知県民の森,0536-32-1262, https://www.aichi-park.or.jp/kenmin/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:32:10
192,POINT(137.578822402548 34.9722263240064),da060503,鳳来寺山自然科学博物館,新城市門谷にあります。鳳来寺山の成り立ちとそこに生育する動物・植物などを展示しています。,新城市 教育部 生涯共育課 鳳来寺山自然科学博物館,0536-35-1001,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:39:30
193,POINT(137.420718498319 34.9632395867133),da060504,つくで手作り村,新城市作手地区にあります。地区の主要産業である農林業を活かした、都市と山村との交流拠点です。,つくで手作り村,0536-37-2772,http://www.tsukude.com,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
194,POINT(137.44606706234 34.9981790912179),da060505,ＭＩＬＫ工房スコット,新城市作手田原にあります。チーズ作りなどの体験ができるほか、酪農家がつくるジェラートがあります。    ,ＭＩＬＫ工房スコット,0536-37-2787,http://www.tees.ne.jp/~milk-ice/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:50:08
196,POINT(137.60521922283 35.2002913006207),da060507,つぐ高原グリーンパーク,北設楽郡設楽町津具にあります。オートキャンプ場のあるアウトドアライフの楽園です。,つぐ高原グリーンパーク,0536-83-2344,http://www.green-park.net/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
197,POINT(137.680295826737 35.0837013297778),da060508,東栄町交流促進センター　千代姫荘,北設楽郡東栄町中設楽にあります。お母さん達の作る地元農林水産物を使った料理が好評です。,千代姫荘,0536-76-0489,https://www.at-ml.jp/68478/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 10:57:30
198,POINT(137.718909567353 35.1179938472583),da060509,東栄町森林体験交流センター　スターフォレスト御園,北設楽郡東栄町御薗にあります。澄んだ星空の御園高原でスターウォッチング等を満喫できます。,東栄町森林体験交流センター「スターフォレスト御園」,0536-76-0687,http://www.town.toei.aichi.jp/1302.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 11:05:37
199,POINT(137.706688556406 35.0748516375525),da060510,とうえい温泉,北設楽郡東栄町にあります。食塩が含まれ塩辛い温泉で、温まりやすく冷めにくいのが特徴です。,とうえい温泉,0536-77-0268,https://toueionsen.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 11:09:18
200,POINT(137.698230810366 35.1435700290883),da060511,兎鹿嶋温泉（湯～らんどパルとよね）,北設楽郡豊根村の山麓にある楽しむ、くつろぐ、温まる温泉です。,湯～らんどパルとよね,0536-85-1180,http://www.chausuyama.jp/spot/2014022514193914.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 11:12:50
201,POINT(137.725328867208 35.1856172360581),da060512,三沢高原農産物加工体験館,北設楽郡豊根村三沢地区にあります。地元のお母さんたちの手ほどきで農産加工等に挑戦してみませんか？,三沢高原いこいの里若者センター(総合案内所）,0536-85-1431,http://ikoinosatolove.sakura.ne.jp/taiken.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/18 11:19:29
202,POINT(137.72064747866 35.1397196370734),da060513,大入の郷（おおにゅうのさと）,北設楽郡豊根村の役場近くにあり、ふるさと豊根の自然が体験できます。,大入の郷事務局（豊根村商工会内）,0536-85-1033,https://r.goope.jp/toyone,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 09:43:35
203,POINT(137.676116830211 35.2138867979209),da060514,グリーンステージ花の木,北設楽郡豊根村坂宇場地区にあります。自然と歴史を通して楽しい体験をしてみませんか？,グリーンステージ花の木管理組合,0536-87-2203,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 09:48:02
204,POINT(137.799440351957 35.1808537341631),da060515,とみやま来富館（らいふかん）,北設楽郡豊根村（旧富山村）で山村体験をしてみよう,一般社団法人　とみやまの里,0536-89-2007,https://www.tomisato.org/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 09:55:08
205,POINT(137.53454614756 35.1728434225496),da060516,アグリステーションなぐら,北設楽郡設楽町納庫にあります。地元農家が販売する高原野菜が人気の道の駅です。,アグリステーションなぐら,0536-65-0888,http://aguristationnagura.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 10:04:09
206,POINT(137.55512970302 34.9248868887644),da060517,こんたく長篠,新城市長篠にある愛知東農業協同組合直営のレストランと直売所です。,こんたく長篠,0536-32-0002,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 10:07:37
207,POINT(137.615904257777 34.9741771982002),da060518,鳳来ゆ～ゆ～ありいな,新城市能登瀬にある湯量豊富な温泉です。スポーツ施設もあります。,鳳来ゆ～ゆ～ありいな,0536-32-2212,http://www.sanyurin.jp/yuyu/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 10:12:18
208,POINT(137.349038367408 34.6713908293011),da070502,万場調整池と万場緑地,「水」について楽しみながら理解を深めることができます。,"","","","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 10:19:31
209,POINT(137.458009089215 34.7255043601559),da070503,産直プラザ二川,産直の新鮮な農産物が充実！価格の安さも自慢です。,産直プラザ二川,0532-41-2413,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:23:39
210,POINT(137.441075643256 34.8020273696342),da070503,産直プラザ石巻,産直の新鮮な農産物が充実！価格の安さも自慢です。,産直プラザ石巻,0532-88-0658,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:23:57
211,POINT(137.370692158353 34.7310278545592),da070503,グリーンセンター磯辺,産直の新鮮な農産物が充実！価格の安さも自慢です。,グリーンセンター磯辺,0532-45-4588,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:24:18
212,POINT(137.360118475849 34.7530239221273),da070503,グリーンセンター牟呂,産直の新鮮な農産物が充実！価格の安さも自慢です。,グリーンセンター牟呂,0532-33-3214,http://www.ja-toyohashi.com/info/green/green.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
213,POINT(137.320010319551 34.6820146486909),da070503,ジョイフル杉山,産直の新鮮な農産物が充実！価格の安さも自慢です。,ジョイフル杉山,0532-23-1386,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:24:34
214,POINT(137.431825514622 34.807574065173),da070503,フルーツショップゆめ彩館,産直の新鮮な農産物が充実！価格の安さも自慢です。,フルーツショップゆめ彩館,0532-87-1777,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:24:48
215,POINT(137.371066231192 34.7720638943712),da070503,JAファーマーズマーケット吉田方店,産直の新鮮な農産物が充実！価格の安さも自慢です。,JAファーマーズマーケット吉田方店,0532-31-1966,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:28:24
216,POINT(137.385470471182 34.7490594495702),da070503,産直プラザ福岡,産直の新鮮な農産物が充実！価格の安さも自慢です。,産直プラザ福岡,0532-46-3973,http://www.ja-toyohashi.com/info/a-coop/a-coop.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
217,POINT(137.363178770221 34.7123247954714),da070503,植田アグリセンター,産直の新鮮な農産物が充実！価格の安さも自慢です。,植田アグリセンター,0532-25-1721,http://www.ja-toyohashi.com/info/santyoku/santyoku.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
218,POINT(137.310076459795 34.857288685997),da070504,グリーンセンター音羽（ぺったん工房）,豊川市で栽培された新鮮な野菜、果実、花及び加工品を販売する産地直売所。,グリーンセンター音羽,0533-88-6600,https://ja-himawari.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:41:07
219,POINT(137.426121316747 34.877641441555),da070505,本宮（ほんぐう）の湯,本宮山登山口ふもとの緑豊かな自然環境の中にある日帰り天然温泉,本宮の湯,0533-92-1880,https://www.honguu-no-yu.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:44:42
220,POINT(137.368858358033 34.7985267100217),da070507,五社稲荷社朝市,国道１号に赤く映える大鳥居が見事。新鮮な農産物の直販が魅力。,五社稲荷社,0533-72-3062,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
221,POINT(137.363588405461 34.8480726663849),da070508,ぎょぎょランド,東三河唯一の淡水魚水族館です。豊川市内を流れる「とよがわ」に住む魚や生物を中心に、自然に近い状態でわかりやすく展示しています。,赤塚山公園案内（ぎょぎょランド内）,0533-89-8891,http://www.city.toyokawa.lg.jp/shisetsu/koen/akatsukayama.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 13:52:38
223,POINT(137.241075782468 34.8544296339992),da070510,蒲郡オレンジパーク,蒲郡市の特産物の「みかん」を始め、季節の様々なフルーツ狩り体験ができます。,蒲郡オレンジパーク,0533-68-2321,http://www.orepa.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
224,POINT(137.224767407605 34.8194964678579),da070511,手織り三河木綿工房・手織場（てばたば）,昔ながらの製法、器具を使い、伝統の三河木綿を復元している工房です。糸紡ぎや機織り体験もできます。,手織り三河木綿工房・手織場（てばたば）,0533-68-5771,http://www.yumeoribito.jp/know/renaissance/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:08:42
225,POINT(137.101329139844 34.6253876817069),da070513,愛知みなみ農協ふれあい広場渥美店,あつみ特産”アールスメロン”を販売,愛知みなみ農協ふれあい広場渥美店,0531-32-1151,http://www.ja-aichiminami.or.jp/store/index.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:16:31
226,POINT(137.208344257864 34.6155082774551),da070513,愛知みなみ農協ふれあい広場赤羽根店,安さと品揃えが自慢の店舗,愛知みなみ農協ふれあい広場赤羽根店,0531-45-3135,http://www.ja-aichiminami.or.jp/store/index.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:18:00
227,POINT(137.201856574676 34.6427274700065),da070514,サンテパルクたはら,渥美半島の農業の魅力を満載した農業公園です。,サンテパルクたはら田原市芦ヶ池農業公園,0531-25-1234,http://santepark.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:22:57
228,POINT(137.272347575635 34.6615917310162),da070515,「道の駅」田原めっくんはうす,渥美半島の観光と産業の情報サービスステーションです。,「道の駅」田原めっくんはうす,0531-23-2525,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
229,POINT(137.020175041643 34.5836304119674),da070516,「道の駅」伊良湖クリスタルポルト,「道の駅・伊良湖」は海と陸を結ぶターミナルです。,「道の駅」伊良湖クリスタルポルト,0531-35-6631,http://www.irago.net/port/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
230,POINT(137.14862208595 34.6537568728489),da070517,潮干狩り場（伊川津・泉）,渥美半島のアサリは大粒で味も良いと評判です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:31:29
231,POINT(137.086212150836 34.6493773000876),da070517,潮干狩り場（小中山）,渥美半島のアサリは大粒で味も良いと評判です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:31:43
232,POINT(137.241286882205 34.6881825391624),da070517,潮干狩り場（田原）,渥美半島のアサリは大粒で味も良いと評判です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:32:05
233,POINT(137.0263139257 34.5889747073647),da070518,伊良湖海水浴場,遠浅の海と真っ白な砂浜が特徴で、透明度の高い海と美しいビーチが人気です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:35:18
234,POINT(137.212849954952 34.6782708904852),da070518,仁崎（にさき）海水浴場,キャンプのできる海水浴場として人気です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:35:49
235,POINT(137.233241776164 34.6864833266234),da070518,白谷海浜（しろやかいひん）公園,白い砂浜が人気で、潮風を感じながら三河湾国定公園の雄大な自然を楽しむことができます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:35:02
236,POINT(137.037167735922 34.6054486917916),da070519,休暇村伊良湖キャンプ場,海に近く、自然を満喫できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:39:02
237,POINT(137.183273214853 34.6639983926394),da070519,江比間（えひま）野外活動センター,海に近く、自然を満喫できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:39:31
238,POINT(137.21210775653 34.678045789094),da070519,仁崎（にさき）キャンプ場,海に近く、自然を満喫できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:40:09
239,POINT(137.261790717466 34.684778547189),da070520,蔵王山（ざおうさん）展望台,山頂の展望台からは田原市が一望できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 14:43:16
240,POINT(137.243802465574 34.6703849495613),da070521,滝頭（たきがしら）公園,春には桜まつりで賑わいます。野球場やテニスコート、キャンプ場を備える公園です。,滝頭公園管理事務所,0531-22-3936,http://www.tees.ne.jp/~takigasira/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 15:07:06
241,POINT(137.060546688956 34.5951397039218),da070523,初立池（はったちいけ）公園,豊川用水東部幹線の最終調整池周囲に整備された公園です。,田原市役所 渥美支所 地域課,0531-33-1111,http://www.city.tahara.aichi.jp/shisetsu/kankou/1005666/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 15:17:47
242,POINT(137.263182448288 34.8304793653782),da070524,とよおか湖公園（蒲郡調整池）,蒲郡調整池の堤防下に整備された公園です。長大滑り台などの遊具で遊べます。,蒲郡市産業環境部農林水産課,0533-66-1124,https://www.city.gamagori.lg.jp/site/nougyou/t-kouen.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/12/04 14:26:40
244,POINT(137.393417276385 34.69941667302),da070526,NDふぁ～む,飼育乳牛１５０頭の牧場です。ふれあい体験、搾乳体験、酪農作業体験,NDふぁ～む,0532-25-0908,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
245,POINT(137.140304717042 34.6325784995008),da070527,デイリーパラダイス,愛される酪農を目指して活動しています。酪農体験などができます。（酪農教育ファーム認証牧場）,デイリーパラダイス,0531-37-1196,http://dairyparadise.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2015/12/08 14:51:02
246,POINT(137.191222079975 34.6091571308347),da070528,「道の駅」あかばねロコステーション,渥美半島の真ん中で地域をつなぐ中継ステーションです。,「道の駅」あかばねロコステーション,0531-45-5088,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
247,POINT(137.177571142614 34.7805649072274),da070529,西浦鮮魚マーケット,西浦市場に水揚げされた魚介類や加工食品を販売しています。,蒲郡漁業協同組合西浦支所,0533-57-6155,http://gamagori-gyokyo.com/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
248,POINT(137.422077926352 34.6839801076182),da070531,あぐりパーク食彩村,東三河最大級！豊橋田原地域「地産地消」の拠点,ＪＡあぐりパーク食彩村,0532-21-3901,https://www.syokusaimura.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 15:43:12
249,POINT(136.792866748815 35.3625486948571),da010502,川釣り体験場　マス釣り,ファミリーから上級の方まで楽しんで頂ける川釣り体験場です,木曽川漁業協同組合,0586-87-3222,https://kawaturitaikenjyou.on.omisenomikata.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 15:47:06
250,POINT(137.683244723947 35.1790883647786),da060519,豊根グリーンポート宮嶋,北設楽郡豊根村にある、地元農産物の直売や加工品の販売、定食・軽食のある「道の駅」です。,豊根グリーンポート宮嶋,0536-87-2009,http://toyonemura-kanko.jp/greenport/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 15:51:47
251,POINT(137.72129064765 35.0467596565165),da060520,愛知東農業協同組合　産直施設　東栄直売所,愛知東農業協同組合が運営する直売施設です。,JA愛知東　東栄直売所　,0536-79-3343,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 16:03:41
252,POINT(137.476903835879 34.8959488398218),da060520,愛知東農業協同組合　産地直売施設　グリーンセンターしんしろ,愛知東農業協同組合が運営する直売施設です。,JA愛知東　グリーンセンターしんしろ,0536-23-7560,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 16:05:55
253,POINT(137.55527190526 34.9248684045152),da060520,愛知東農業協同組合　産地直売施設　こんたく長篠,愛知東農業協同組合が運営する産地直売施設です。,JA愛知東　こんたく長篠,0536-32-0002  ,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 16:08:39
254,POINT(137.425161479993 34.9762565246289),da060520,愛知東農業協同組合　産地直売施設　勇気野菜館,愛知東農業協同組合が運営する産地直売施設です。Ａコープ店内にあります。,Aコープ作手店　勇気野菜館,0536-37-2124,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/19 16:14:30
255,POINT(137.115782820766 35.2404677022384),da010554,道の駅瀬戸しなの,産直とれたて市場とせとめし食堂があり、陶器の魅力も楽しめる施設です。,道の駅瀬戸しなの,0561-41-3900,http://www.setoshinano.jp,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/12/21 15:07:41
256,POINT(137.053879111891 35.0011346085919),da040514,JAあいち中央　グリーンセンター知立,知立市のJA直売施設です。<BR>取扱品目：産直野菜、コメ米、JA特産品、果物、花、観葉植物、園芸用品、生産資材,JAあいち中央　産直センター知立,0566-85-0050,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
258,POINT(137.002829361202 34.9280387283417),da040537,JAあいち中央　産直センター高浜,高浜市のJA直売施設です。<BR>取扱品目：産直野菜、コメ米、JA特産品、果物、花、観葉植物、園芸用品、生産資材,JAあいち中央　産直センター高浜,0566-54-3030,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,""
259,POINT(137.092489031025 34.9011090066177),da040541,太陽の味,産直野菜、米、惣菜、精肉、手作りの農家レストラン ※精肉は毎月第２、４土日販売 ,太陽の味,0566-99-7388,https://ja-jp.facebook.com/taiyounoaji,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/20 11:14:28
260,POINT(137.149369481289 35.149160826289),da050523,うめこう桃梨苺園,１月～５月のいちご狩りの他、数々の受賞歴に裏打ちされた本物のおいしい桃、梨、苺を直送販売しています。,うめこう桃梨苺園,0565-41-4719,http://umekouen.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
261,POINT(137.123016943849 34.6332586992645),da070512,スイーツ＆ジェラテリア　Baroque(バロック),　新鮮な生乳を使用したスイーツ・ジェラートをご提供いたします。,スイーツ＆ジェラテリア　Baroque(バロック),0531-37-0053,http://sg-baroque.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
262,POINT(136.723398891761 35.1787658631303),da020514,津島市観光交流センター（まつりの館　津島屋）,津島の歴史・文化・観光・知と人の交流センターです。,津島市観光交流センター(まつりの館　津島屋）,0567-25-2701,http://hc-ppp.com/tsushimashikankou/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/20 11:24:28
263,POINT(136.785812813292 35.1346902747663),da020515,蟹江町まちなか交流センター(みちくさの駅　楽人(がくと)),ふれあいと交流の場を提供する施設です。,蟹江町まちなか交流センター（みちくさの駅　楽人）,0567-55-9000,https://www.town.kanie.aichi.jp/soshiki/3/machinaka-kouryu-center.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/20 11:31:10
264,POINT(137.31361294796 35.0374903987532),da050508,昇匠 SHOW BAKERY(しょうべーかりー),豊田市下山地区にある、米粉パンが有名な手作りパン屋さんです。,昇匠 SHOW BAKERY,0565-90-3888,なし,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
265,POINT(137.253769962806 35.2237794547978),da050521,たまご村,農林水産大臣賞を受賞した、産み立ての新鮮卵を販売しています。不老長寿の卵と言われる烏骨鶏の卵やアローカナの青い卵もあります。,たまご村,0565-65-3479,http://www.tamagomura.org/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/20 11:40:49
266,POINT(137.283597167492 35.2709805577458),da050522,西村自然農園,季節の野菜や野草を収穫、調理して、楽しく食事したり、自然観察、耕作などを体験できる農園です。 あなたの「農家力」を高める絶好の機会です。,西村自然農園,0565-65-2869,https://www.nishimikawanavi.jp/accommodations/detail/69/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/20 11:44:58
267,POINT(137.201987435032 34.6426372795168),da070501,旬採だいにんぐmogu(モグ),地元産の旬の食材や特産品を使った日替わりのバイキングメニューが約50種類！！,旬採だいにんぐmogu(サンテパルクたはら内),0531－24－5400,http://www.ja-aichiminami.or.jp/shun/mogu/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/20 11:50:45
268,POINT(137.15400102356 34.6506382728534),da070506,どろんこ村ファーマーズキッチン,自給自足を目指す農家レストランならではの家庭料理です。,どろんこ村ファーマーズキッチン,0531－37－0996,http://www.doronkomura.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
269,POINT(137.259763895369 34.8238289675971),da070530,砥神山麓収穫体験園,約3000平方メートルの園地であなたも露地ミカン、野菜の収穫体験やミカンのオーナーはいかが？,砥神山麓収穫体験園グループ,0533-67-1570,なし,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
270,POINT(136.968360844855 34.8506757357388),da040545,レストランだいどころ,碧南市あおいパーク内。新鮮な地元食材を使ったお食事をどうぞ。,レストランだいどころ（あおいパーク内）,0566-46-8058,http://www.city.hekinan.aichi.jp/aoi/annai/corner/co7.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/12/22 09:30:31
271,POINT(136.974994208213 34.8431949500428),da040546,農家れすとらん葉菜の舎（はなのや） ,　碧南のお野菜を中心に、地元の主婦がつくる手造り惣菜をバイキング形式でお楽しみください。,農家れすとらん葉菜の舎,0566-41-8544,http://www.hananoya.org/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 09:19:03
272,POINT(137.046825168102 34.7211509935762),da040547,佐久島体験民宿ゆきや,定置網漁や味覚狩りなど、遊べるメニューも充実,佐久島体験民宿ゆきや,0563-79-1020,http://www.sakushima-yukiya.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 09:36:41
273,POINT(137.046649104535 34.7220974102354),da040548,民宿千鳥,新鮮な海の幸でもてなしてくれる海辺の宿,民宿千鳥,0563-79-1008,http://sakushima-chidori.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 09:41:25
274,POINT(137.047622889258 34.7206829881864),da040549,ごはん屋　海,女店主のアイデアが光る新メニューに注目！,ごはん屋　海,0563-79-1910,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 09:45:47
275,POINT(137.021855809272 34.7955163548647),da040550,うなぎ割烹　みかわ三水亭,日本有数の産地・西尾市一色町初のうなぎ専門店,うなぎ割烹　みかわ三水亭,0120-718-819,http://www.mikawasuisankakou.jp/sansuitei/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 09:51:09
276,POINT(137.046693482178 34.7216106362614),da040551,佐久島民宿　魚増,新鮮な海の幸をバーベキューで味わう贅沢,佐久島民宿　魚増,0563-79-1111,http://www.1-boss.com/uomasu/index.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
277,POINT(137.048267050436 34.7207016461959),da040552,民宿　市兵衛,漁師のご主人が獲ってくる新鮮な魚介が美味,民宿　市兵衛,0563-79-1103,http://www.burari.biz/yado/206ichibee/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
278,POINT(137.014043812178 34.7945782616308),da040553,うなぎ処　いっしき ,漁協直営のお店でうなぎ本来の旨みを熱々でいただく,うなぎ処　いっしき,0563－65－0141,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 14:37:03
279,POINT(137.525302894366 35.2229550452755),da050525,山里Cyafe（ちゃふぇ）,　山の中の小さな農家レストランです。眺めのよさが自慢です。,山里Cyafe（ちゃふぇ）,０５６５－８３－３００３,http://www.yamazatocyafe.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
280,POINT(137.569372052836 35.2844561379878),da050526,亀甲苑（きっこうえん）,囲炉裏でくつろぎながら、名古屋コーチンを味わえます。,亀甲苑（きっこうえん）,0565-84-1150,https://www.ikewon.com/kikkoen/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 15:45:28
281,POINT(137.401312862811 35.0356757716721),da050527,三河湖観光センター,　昭和を感じさせる手作り惣菜が懐かしさいっぱいの「農家レストラン」です。,三河湖観光センター,0565-90-3510,http://www.karen-shimoyama.jp/spot0_111.html#u2,"","",システム管理者,2015/01/26 15:48:19,システム管理者,""
282,POINT(137.511450409624 34.9911057523885),da060522,奥三河の民宿旅館　川合,奥三河での地産地消、山の幸を用いた会席料理を提供しています。,民宿旅館　川合,0536-36-0047,https://yadokawai.hamazo.tv/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 15:44:56
283,POINT(137.449258158264 35.0182113523845),da060523,涼風の里,かやぶき屋根が特徴の直売所・農家レストランです。,涼風の里,0536-39-3131,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/21 15:42:58
